Date,Value
2017-08-31,173.99267399267
2017-07-31,172.70967072021
2017-06-30,174.10435093362
2017-05-31,174.38422877104
2017-04-30,174.71804511278
2017-03-31,172.92490118577
2017-02-28,170.40043290043
2017-01-31,171.02206736353
2016-12-31,164.76648351648
2016-11-30,165.7442139107
2016-10-31,165.44616284286
2016-09-30,164.1627946125
2016-08-31,162.35679232411
2016-07-31,163.65853658537
2016-06-30,166.00029427253
2016-05-31,165.15151515152
2016-04-30,167.87166401413
2016-03-31,160.0666410355
2016-02-29,164.37853731871
2016-01-31,168.92655367232
2015-12-31,162.65671286426
2015-11-30,163.76404494382
2015-10-31,159.36018957346
2015-09-30,160.25874679264
2015-08-31,158.60366713681
2015-07-31,152.88461538461
2015-06-30,156.08342305756
2015-05-31,160.08968609865
2015-04-30,157.85536159601
2015-03-31,156.22900763359
2015-02-28,151.28593040847
2015-01-31,151.26525957653
2014-12-31,148.16933638444
2014-11-30,147.85057150011
2014-10-31,148.85463965537
2014-09-30,147.50527055516
2014-08-31,148.55687606112
2014-07-31,144.86956521739
2014-06-30,147.34437464306
2014-05-31,148.42532230356
2014-04-30,150.24827358095
2014-03-31,151.39637432631
2014-02-28,152.83125707814
2014-01-31,154.44381768476
2013-12-31,149.87816535425
2013-11-30,149.69742905651
